Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured Sphingobacteriaceae bacterium,KC252876.1.1359
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,Plantactinospora sp. lxw064,KF179222.1.1257
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Ambiguous_taxa,FN554397.1.1453
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium nematocida,AB175370.1.1457
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium sp. MIMdw12,Sphingobacterium sp. MIMdw12,KT347098.1.1444
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Steroidobacter,uncultured gamma proteobacterium,FJ535077.1.1465
Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Ambiguous_taxa,JX284407.1.1341
Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Ambiguous_taxa,HM186120.1.1273
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,uncultured bacterium,New.CleanUp.ReferenceOTU73734
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,EU769160.1.1490
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,KM036216.1.1513
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,LN560762.1.1365
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,GQ140334.1.1478
