Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae,uncultured bacterium,GQ263724.1.1447
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured bacterium,FN563170.1.1481
Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae,uncultured bacterium,New.ReferenceOTU132
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,uncultured,Myxococcales,uncultured bacterium,New.ReferenceOTU758
Bacteria,Gemmatimonadetes,S0134 terrestrial group,uncultured bacterium,uncultured bacterium,S0134 terrestrial group,uncultured bacterium,New.ReferenceOTU20
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured compost bacterium,New.ReferenceOTU983
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured Firmicutes bacterium,New.ReferenceOTU109
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Steroidobacter,uncultured gamma proteobacterium,FJ535077.1.1465
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,uncultured Myxococcus sp.,New.ReferenceOTU301
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured Paenibacillus sp.,New.ReferenceOTU170
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured Paenibacillus sp.,New.ReferenceOTU75
