Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Eukaryota,SAR,Stramenopiles,Peronosporomycetes,Pythium,Pythium aristosporum,Pythium aristosporum,New.ReferenceOTU1798
Eukaryota,Opisthokonta,Nucletmycea,Fungi,Cryptomycota,LKM11,uncultured eukaryote,New.ReferenceOTU3543
