Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,uncultured bacterium,HQ011714.1.1210
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Ambiguous_taxa,KP214609.6.1239
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured proteobacterium,FN794266.1.1442
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,JF203596.1.1349
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria sp. PK-11,Kocuria sp. PK-11,FJ907957.1.1453
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured Xanthomonas sp.,HM438418.1.1491
Bacteria,Betaproteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,uncultured bacterium,New.ReferenceOTU1148
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,bacterium enrichment culture clone heteroB15_4W,New.ReferenceOTU927
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,New.ReferenceOTU41
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,Ambiguous_taxa,GQ263406.1.1462
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,FJ946553.1.1290
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,GU138374.1.1443
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured bacterium,LN571442.1.1364
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,New.CleanUp.ReferenceOTU298018
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella,uncultured bacterium,GQ263916.1.1453
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Ambiguous_taxa,New.ReferenceOTU707
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae,uncultured bacterium,AY218593.1.1488
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae,uncultured bacterium,GU359109.1.1450
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae,uncultured Flavisolibacter sp.,JX575904.1.1498
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae,uncultured bacterium,AY218628.1.1483
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae,Ambiguous_taxa,LN571475.1.1366
Bacteria,Betaproteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclaceae,uncultured Alcaligenaceae bacterium,KP183072.1.1501
Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae,uncultured bacterium,New.ReferenceOTU132
