"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"1","Negative Control","Adhaeribacter","Bacteroidetes",20,0.2,0.410391340834062,0.0917662935482247,0.192069059780328
"2","Antifungal","Adhaeribacter","Bacteroidetes",17,6.23529411764706,6.21016718539753,1.50618677989051,3.1929733363069
"3","Antibacterial+Antifungal","Adhaeribacter","Bacteroidetes",19,7.21052631578947,6.18761260160996,1.41953568590508,2.98233380942667
"4","Antibacterial","Adhaeribacter","Bacteroidetes",21,16.952380952381,16.3599394573335,3.57003147276789,7.44695515778255
"5","Positive Control","Adhaeribacter","Bacteroidetes",18,65.6666666666667,53.7368314922226,12.6658926492098,26.7226976184674
"6","Negative Control","AKYG937","Alphaproteobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"7","Antifungal","AKYG937","Alphaproteobacteria",17,80.5882352941177,69.1854923588839,16.7799466327083,35.5718977873282
"8","Antibacterial+Antifungal","AKYG937","Alphaproteobacteria",19,103.789473684211,68.989998427605,15.8273911189979,33.2521148414179
"9","Positive Control","AKYG937","Alphaproteobacteria",18,140.055555555556,117.406519621668,27.6729820599977,58.3848886352851
"10","Antibacterial","AKYG937","Alphaproteobacteria",21,186,141.99542246143,30.9859415127017,64.6355413746137
"11","Negative Control","Anaeromyxobacter","Deltaproteobacteria",20,0,0,0,0
"12","Antibacterial+Antifungal","Anaeromyxobacter","Deltaproteobacteria",19,0.842105263157895,1.60772986587842,0.368838527046116,0.774900990761226
"13","Antifungal","Anaeromyxobacter","Deltaproteobacteria",17,1.11764705882353,1.93269090069961,0.468746395603213,0.993697968030113
"14","Positive Control","Anaeromyxobacter","Deltaproteobacteria",18,6.88888888888889,6.36062232331627,1.49921305912782,3.16306306663902
"15","Antibacterial","Anaeromyxobacter","Deltaproteobacteria",21,7.90476190476191,9.15371379225264,1.99750411156948,4.1667205624972
"16","Negative Control","Arcticibacter","Bacteroidetes",20,0,0,0,0
"17","Antibacterial","Arcticibacter","Bacteroidetes",21,9.09523809523809,6.12294669178788,1.3361365091094,2.78713191855962
"18","Antibacterial+Antifungal","Arcticibacter","Bacteroidetes",19,9.78947368421053,6.23234348083912,1.42979765339012,3.00389340309222
"19","Antifungal","Arcticibacter","Bacteroidetes",17,10.5294117647059,11.3364326788612,2.74948878544992,5.8286558464247
"20","Positive Control","Arcticibacter","Bacteroidetes",18,32.2777777777778,16.0945937417637,3.79353212508122,8.00365317250749
"21","Antifungal","Arenimonas","Gammaproteobacteria",17,2.88235294117647,1.57648156273616,0.382352941176471,0.810552026172833
"22","Positive Control","Arenimonas","Gammaproteobacteria",18,3.11111111111111,1.32349310044598,0.311950315392986,0.658157634926139
"23","Antibacterial+Antifungal","Arenimonas","Gammaproteobacteria",19,4,1.9436506316151,0.445904036039959,0.936809617148784
"24","Antibacterial","Arenimonas","Gammaproteobacteria",21,5.23809523809524,3.84583881493702,0.839230832383246,1.75060484016996
"25","Negative Control","Arenimonas","Gammaproteobacteria",20,12.9,10.1613302071602,2.27214250850323,4.7556489253409
"26","Negative Control","Bacillus","Firmicutes",20,0,0,0,0
