"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"27","Antibacterial+Antifungal","Bacillus","Firmicutes",19,0.157894736842105,0.501459857121279,0.115042781128105,0.241695914442662
"28","Antibacterial","Bacillus","Firmicutes",21,0.761904761904762,0.995226703056239,0.217176271447455,0.45302176385288
"29","Antifungal","Bacillus","Firmicutes",17,1.58823529411765,2.47635880703433,0.600605231078298,1.27322621210289
"30","Positive Control","Bacillus","Firmicutes",18,7.83333333333333,14.4680174665282,3.4101444203025,7.19477582061558
"31","Negative Control","Brevundimonas","Alphaproteobacteria",20,0.1,0.307793505625546,0.0688247201611685,0.144051794835246
"32","Antifungal","Brevundimonas","Alphaproteobacteria",17,18.7647058823529,15.0852966981292,3.6587218635393,7.75614386689362
"33","Antibacterial+Antifungal","Brevundimonas","Alphaproteobacteria",19,21.5789473684211,16.0565521048909,3.68362568457446,7.73901038872046
"34","Antibacterial","Brevundimonas","Alphaproteobacteria",21,35.5238095238095,28.8506829167336,6.2957351579572,13.1326734131653
"35","Positive Control","Brevundimonas","Alphaproteobacteria",18,66.3333333333333,26.3260103990219,6.20510015824533,13.091616975882
"36","Positive Control","DA101 soil group","Verrucomicrobia",18,3.44444444444444,1.72259114749784,0.406018627202545,0.856624424562428
"37","Antibacterial","DA101 soil group","Verrucomicrobia",21,5.57142857142857,3.6134668750582,0.788523117912844,1.6448304012903
"38","Negative Control","DA101 soil group","Verrucomicrobia",20,9.65,5.00815125044845,1.11985666376033,2.34388693473981
"39","Antifungal","DA101 soil group","Verrucomicrobia",17,13.3529411764706,6.5948955305466,1.59949710955044,3.39078239862505
"40","Antibacterial+Antifungal","DA101 soil group","Verrucomicrobia",19,19.6842105263158,8.0073066048658,1.83700212108188,3.85939824415047
"41","Negative Control","Devosia","Alphaproteobacteria",20,0.05,0.223606797749979,0.05,0.104651202720415
"42","Antifungal","Devosia","Alphaproteobacteria",17,53.2352941176471,30.2975440666498,7.34823378727076,15.5775597455519
"43","Antibacterial+Antifungal","Devosia","Alphaproteobacteria",19,72.7894736842105,36.4700469904466,8.36680259460717,17.5779999773561
"44","Positive Control","Devosia","Alphaproteobacteria",18,79.8888888888889,36.3283860636132,8.5626827117146,18.0656813732195
"45","Antibacterial","Devosia","Alphaproteobacteria",21,184.809523809524,116.990007713317,25.5293126618925,53.2532130465293
"46","Negative Control","Flavobacterium","Bacteroidetes",20,0,0,0,0
"47","Antibacterial","Flavobacterium","Bacteroidetes",21,41.6190476190476,49.3674753157139,10.7728663096725,22.4718053442588
"48","Antifungal","Flavobacterium","Bacteroidetes",17,52.8823529411765,67.376630177812,16.3412331130175,34.6418666720956
"49","Antibacterial+Antifungal","Flavobacterium","Bacteroidetes",19,71.5263157894737,83.0290233198626,19.0481643174823,40.0187082407314
"50","Positive Control","Flavobacterium","Bacteroidetes",18,186.777777777778,93.2161028474445,21.9712461464036,46.3552773840925
"51","Negative Control","Kocuria ","Actinobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"52","Positive Control","Kocuria ","Actinobacteria",18,5.5,4.28746462856272,1.01056510431805,2.13210599950498
"53","Antibacterial+Antifungal","Kocuria ","Actinobacteria",19,5.78947368421053,3.3760421826028,0.774517194899793,1.62720024531064
"54","Antibacterial","Kocuria ","Actinobacteria",21,7.23809523809524,8.06786689221359,1.76055289192366,3.67244897953097
"55","Antifungal","Kocuria ","Actinobacteria",17,35,35.0945152409889,8.51167018932035,18.0439347395638
"56","Negative Control","Luteimonas","Gammaproteobacteria",20,0,0,0,0
"57","Antibacterial+Antifungal","Luteimonas","Gammaproteobacteria",19,21.5263157894737,20.2576965375101,4.64743431768001,9.76389718858651
"58","Antifungal","Luteimonas","Gammaproteobacteria",17,26.4117647058824,40.6756358640056,9.86529076802687,20.9134821774987
"59","Positive Control","Luteimonas","Gammaproteobacteria",18,35.1666666666667,30.1686436357939,7.11081749802342,15.0025135284595
"60","Antibacterial","Luteimonas","Gammaproteobacteria",21,46.3333333333333,51.9377832924484,11.3337534936123,23.641795507997
"61","Negative Control","Paenibacillus","Firmicutes",20,0.05,0.223606797749979,0.05,0.104651202720415
"62","Antibacterial+Antifungal","Paenibacillus","Firmicutes",19,45.6842105263158,40.3554383387019,9.2581725021415,19.4506986621026
"63","Antifungal","Paenibacillus","Firmicutes",17,79.9411764705882,80.8551719034065,19.6102596550128,41.5718933617665
"64","Antibacterial","Paenibacillus","Firmicutes",21,166.952380952381,100.567129913544,21.9455469168225,45.7776086987499
"65","Positive Control","Paenibacillus","Firmicutes",18,342.722222222222,118.682872323712,27.9738212769313,59.0196039015948
"66","Negative Control","Parasegetibacter","Bacteroidetes",20,0,0,0,0
"67","Antibacterial","Parasegetibacter","Bacteroidetes",21,5.23809523809524,6.22820007630424,1.35910468061876,2.83504268477868
"68","Antifungal","Parasegetibacter","Bacteroidetes",17,7.70588235294118,11.2125192635417,2.71943536781501,5.76494544712075
"69","Antibacterial+Antifungal","Parasegetibacter","Bacteroidetes",19,15.7894736842105,20.8395429342297,4.78091903578338,10.0443381748852
"70","Positive Control","Parasegetibacter","Bacteroidetes",18,23.7777777777778,20.8709072932115,4.91932002551521,10.3788580221794
"71","Negative Control","Pedobacter","Bacteroidetes",20,0.3,0.470162345981627,0.105131496607569,0.220042751275588
"72","Antibacterial","Pedobacter","Bacteroidetes",21,32.3333333333333,26.7774780988302,5.84332477656723,12.1889618944222
"73","Antibacterial+Antifungal","Pedobacter","Bacteroidetes",19,34.7368421052632,22.9464160969836,5.26426888858876,11.0598185337913
"74","Antifungal","Pedobacter","Bacteroidetes",17,37,23.2620936289062,5.64188641794047,11.9602649149964
"75","Positive Control","Pedobacter","Bacteroidetes",18,112.5,82.0295857674319,19.3345587846915,40.7923533144762
"76","Negative Control","S0134 terrestrial group","Gemmatimonadetes",20,0.05,0.223606797749979,0.05,0.104651202720415
"77","Antifungal","S0134 terrestrial group","Gemmatimonadetes",17,17.8235294117647,22.4283171853063,5.43966592705139,11.5315766247495
"78","Antibacterial+Antifungal","S0134 terrestrial group","Gemmatimonadetes",19,26.3157894736842,29.3372206355661,6.73042000183097,14.1400877219258
"79","Positive Control","S0134 terrestrial group","Gemmatimonadetes",18,56.1111111111111,33.8698006887081,7.98318858147409,16.8430556299751
"80","Antibacterial","S0134 terrestrial group","Gemmatimonadetes",21,57.6666666666667,39.0375887233489,8.51870025110956,17.7696973420291
"81","Negative Control","Sphingobacterium sp. MIMdw12","Bacteroidetes",20,0,0,0,0
"82","Antifungal","Sphingobacterium sp. MIMdw12","Bacteroidetes",17,0.764705882352941,0.831370236770739,0.201636900011795,0.427451132853551
"83","Antibacterial+Antifungal","Sphingobacterium sp. MIMdw12","Bacteroidetes",19,2.57894736842105,2.54549251889348,0.583976034283973,1.22688812139976
"84","Antibacterial","Sphingobacterium sp. MIMdw12","Bacteroidetes",21,10.7142857142857,23.0198671958438,5.02334685298977,10.4785179182747
"85","Positive Control","Sphingobacterium sp. MIMdw12","Bacteroidetes",18,10.8888888888889,23.7285851165632,5.59288114796135,11.7999477709391
"86","Negative Control","Sphingomonas","Alphaproteobacteria",20,2.9,1.29370947686346,0.289282233340238,0.605474672894075
"87","Antibacterial+Antifungal","Sphingomonas","Alphaproteobacteria",19,109.421052631579,58.1457133124032,13.3395414909923,28.0253367251355
"88","Antifungal","Sphingomonas","Alphaproteobacteria",17,120.352941176471,74.8957118068773,18.1648782756221,38.5078217162002
"89","Positive Control","Sphingomonas","Alphaproteobacteria",18,176.277777777778,124.174358229991,29.2681769179713,61.7504555963174
"90","Antibacterial","Sphingomonas","Alphaproteobacteria",21,245.428571428571,119.442275358673,26.0644413337562,54.3694718956209
"91","Negative Control","Steroidobacter","Gammaproteobacteria",20,0,0,0,0
"92","Antifungal","Steroidobacter","Gammaproteobacteria",17,14.1176470588235,19.6274118038433,4.76034658969063,10.091483961615
"93","Antibacterial+Antifungal","Steroidobacter","Gammaproteobacteria",19,16.0526315789474,23.3677690757793,5.36093389143773,11.2629041687967
"94","Antibacterial","Steroidobacter","Gammaproteobacteria",21,20.7619047619048,24.3657644286092,5.31704570759829,11.0911629934919
"95","Positive Control","Steroidobacter","Gammaproteobacteria",18,29.5,30.5984428669557,7.21212214832451,15.2162476577717
"96","Negative Control","Thermobacillus","Firmicutes",20,0,0,0,0
"97","Antibacterial","Thermobacillus","Firmicutes",21,0.666666666666667,0.730296743340221,0.159363814577919,0.332427092026394
"98","Antifungal","Thermobacillus","Firmicutes",17,0.705882352941177,0.587867532097255,0.142578819335774,0.302253594666618
"99","Antibacterial+Antifungal","Thermobacillus","Firmicutes",19,0.736842105263158,0.65337629647495,0.14989480254943,0.314917294393677
"100","Positive Control","Thermobacillus","Firmicutes",18,10.5555555555556,9.0112493239886,2.12397183465168,4.48118886362732
"101","Negative Control","unc_Alcaligenaceae","Betaproteobacteria",20,1.3,1.38031270293899,0.308647303397805,0.646006230339866
"102","Positive Control","unc_Alcaligenaceae","Betaproteobacteria",18,5.27777777777778,5.26705136346319,1.24145591198756,2.61924302230462
"103","Antibacterial","unc_Alcaligenaceae","Betaproteobacteria",21,13.2857142857143,15.1431266822372,3.30450115617418,6.89306862322712
"104","Antibacterial+Antifungal","unc_Alcaligenaceae","Betaproteobacteria",19,858.736842105263,1358.42375331384,311.643782273697,654.739290882889
"105","Antifungal","unc_Alcaligenaceae","Betaproteobacteria",17,1810.47058823529,1685.9477348678,408.902387654753,866.834338453534
"106","Negative Control","unc_Comamonadaceae","Betaproteobacteria",20,0,0,0,0
"107","Antibacterial","unc_Comamonadaceae","Betaproteobacteria",21,1.61904761904762,3.08992217501008,0.674276298024109,1.40651571103604
"108","Antibacterial+Antifungal","unc_Comamonadaceae","Betaproteobacteria",19,2.89473684210526,2.46969941585578,0.566587903928251,1.19035701509683
"109","Antifungal","unc_Comamonadaceae","Betaproteobacteria",17,3.94117647058824,2.43594407353941,0.590803218429431,1.25244687354552
"110","Positive Control","unc_Comamonadaceae","Betaproteobacteria",18,5.27777777777778,7.74448992400446,1.82539378069815,3.851244234197
"111","Antifungal","unc_Cytophagaceae","Bacteroidetes",17,1.94117647058824,1.14403825522216,0.277470033295782,0.588210193958827
"112","Positive Control","unc_Cytophagaceae","Bacteroidetes",18,2.44444444444444,2.17532207817391,0.512728330913861,1.08176221975854
"113","Antibacterial+Antifungal","unc_Cytophagaceae","Bacteroidetes",19,2.57894736842105,1.50243467129871,0.34468215270857,0.724150331503162
"114","Antibacterial","unc_Cytophagaceae","Bacteroidetes",21,3.47619047619048,4.0201871550843,0.877276759336331,1.82996725311144
"115","Negative Control","unc_Cytophagaceae","Bacteroidetes",20,10.8,3.90141674671893,0.872383305421962,1.8259192429124
"116","Negative Control","unc_Gemmatimonadaceae","Gemmatimonadetes",20,0,0,0,0
"117","Antifungal","unc_Gemmatimonadaceae","Gemmatimonadetes",17,7.47058823529412,9.90654863624829,2.40269096544531,5.09347731003855
"118","Antibacterial","unc_Gemmatimonadaceae","Gemmatimonadetes",21,8.23809523809524,12.8643101715745,2.80722262498241,5.85576378405105
"119","Antibacterial+Antifungal","unc_Gemmatimonadaceae","Gemmatimonadetes",19,9.36842105263158,14.5189934083132,3.33088552783003,6.99793081893801
"120","Positive Control","unc_Gemmatimonadaceae","Gemmatimonadetes",18,24.9444444444444,21.7755184235503,5.13253891371501,10.8287105539916
"121","Negative Control","unc_Longimicrobiaceae","Gemmatimonadetes",20,0,0,0,0
"122","Antibacterial+Antifungal","unc_Longimicrobiaceae","Gemmatimonadetes",19,50.2631578947368,55.377334016789,12.7044317232569,26.6910206161278
"123","Antifungal","unc_Longimicrobiaceae","Gemmatimonadetes",17,58.1176470588235,72.1412523741974,17.4968237354798,37.0916093563839
"124","Antibacterial","unc_Longimicrobiaceae","Gemmatimonadetes",21,74.7619047619048,61.9886318302838,13.5270284566202,28.216886910635
"125","Positive Control","unc_Longimicrobiaceae","Gemmatimonadetes",18,81.3333333333333,72.7242980675081,17.1412814401889,36.1649426065357
"126","Negative Control","unc_Myxococcales","Deltaproteobacteria",20,0,0,0,0
"127","Antifungal","unc_Myxococcales","Deltaproteobacteria",17,1.88235294117647,2.20460747473265,0.534695851844054,1.13350456979583
"128","Antibacterial+Antifungal","unc_Myxococcales","Deltaproteobacteria",19,3.10526315789474,2.88472484422702,0.661801267152983,1.39039286842115
"129","Antibacterial","unc_Myxococcales","Deltaproteobacteria",21,4.33333333333333,4.70460767050063,1.02662956024471,2.1415117365531
"130","Positive Control","unc_Myxococcales","Deltaproteobacteria",18,8.16666666666667,6.98106683234354,1.64545323235554,3.47160286221989
"131","Negative Control","unc_Paenibacillaceae","Firmicutes",20,0,0,0,0
"132","Antibacterial+Antifungal","unc_Paenibacillaceae","Firmicutes",19,11.3157894736842,7.96556918227824,1.82742689964909,3.83928145040213
"133","Antifungal","unc_Paenibacillaceae","Firmicutes",17,16.9411764705882,22.1005389873055,5.36016803692599,11.3630486261958
"134","Antibacterial","unc_Paenibacillaceae","Firmicutes",21,65.6190476190476,62.2434544273341,13.582635306133,28.3328807661362
"135","Positive Control","unc_Paenibacillaceae","Firmicutes",18,117.055555555556,80.0319584858759,18.863713519001,39.7989566381733
