,Domain,Phylum,Class,Order,Family,Genus,Species,OTU
New.ReferenceOTU6152,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tremellomycetes,unc_Tremellales,uncultured eukaryote,New.ReferenceOTU6152
New.CleanUp.ReferenceOTU777186,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Agaricomycotina,unc_Agaricomycetes,unidentified,New.CleanUp.ReferenceOTU777186
New.CleanUp.ReferenceOTU3263195,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Agaricomycotina,unc_Agaricomycetes,unidentified,New.CleanUp.ReferenceOTU3263195
