"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"36","Positive Control","DA101 soil group","Verrucomicrobia",18,3.44444444444444,1.72259114749784,0.406018627202545,0.856624424562428
"37","Antibacterial","DA101 soil group","Verrucomicrobia",21,5.57142857142857,3.6134668750582,0.788523117912844,1.6448304012903
"38","Negative Control","DA101 soil group","Verrucomicrobia",20,9.65,5.00815125044845,1.11985666376033,2.34388693473981
"39","Antifungal","DA101 soil group","Verrucomicrobia",17,13.3529411764706,6.5948955305466,1.59949710955044,3.39078239862505
"40","Antibacterial+Antifungal","DA101 soil group","Verrucomicrobia",19,19.6842105263158,8.0073066048658,1.83700212108188,3.85939824415047
"41","Negative Control","Flavobacterium","Bacteroidetes",20,0,0,0,0
"42","Antibacterial","Flavobacterium","Bacteroidetes",21,46.7619047619048,57.2301535572855,12.4886433671527,26.0508535698199
"43","Antifungal","Flavobacterium","Bacteroidetes",17,59.6470588235294,77.6554418380246,18.8342111236579,39.9267439676943
"44","Antibacterial+Antifungal","Flavobacterium","Bacteroidetes",19,75.9473684210526,89.0920084233837,20.4391084944528,42.9409735188738
"45","Positive Control","Flavobacterium","Bacteroidetes",18,205.555555555556,104.045930028789,24.5238608927391,51.7408237401183
"46","Negative Control","Gemmatimonas","Gemmatimonadetes",20,0,0,0,0
"47","Antifungal","Gemmatimonas","Gemmatimonadetes",17,13.7058823529412,19.5536592032104,4.74245895659807,10.0535638734316
"48","Antibacterial+Antifungal","Gemmatimonas","Gemmatimonadetes",19,14.5263157894737,15.9142438681433,3.65097793600518,7.67042001418703
"49","Antibacterial","Gemmatimonas","Gemmatimonadetes",21,17.5238095238095,12.8670861022185,2.80782838271098,5.85702737253074
"50","Positive Control","Gemmatimonas","Gemmatimonadetes",18,17.6666666666667,15.327790984698,3.61279498196332,7.62233113246425
"51","Negative Control","Kocuria","Actinobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"52","Positive Control","Kocuria","Actinobacteria",18,5.5,4.28746462856272,1.01056510431805,2.13210599950498
"53","Antibacterial+Antifungal","Kocuria","Actinobacteria",19,5.78947368421053,3.3760421826028,0.774517194899793,1.62720024531064
"54","Antibacterial","Kocuria","Actinobacteria",21,7.23809523809524,8.06786689221359,1.76055289192366,3.67244897953097
"55","Antifungal","Kocuria","Actinobacteria",17,35,35.0945152409889,8.51167018932035,18.0439347395638
"56","Negative Control","Luedemannella","Actinobacteria",20,0,0,0,0
"57","Antibacterial+Antifungal","Luedemannella","Actinobacteria",19,0.105263157894737,0.458831467741124,0.105263157894737,0.221149688446425
"58","Antifungal","Luedemannella","Actinobacteria",17,1.52941176470588,3.04379793717535,0.738229435177125,1.5649764916731
"59","Antibacterial","Luedemannella","Actinobacteria",21,2.38095238095238,3.57038079868507,0.779120965228154,1.62521785446443
"60","Positive Control","Luedemannella","Actinobacteria",18,5.38888888888889,7.96417632747815,1.87717436257506,3.96049171247019
"61","Negative Control","Luteimonas","Gammaproteobacteria",20,0,0,0,0
"62","Antibacterial+Antifungal","Luteimonas","Gammaproteobacteria",19,21.5263157894737,20.2576965375101,4.64743431768001,9.76389718858651
"63","Antifungal","Luteimonas","Gammaproteobacteria",17,26.4117647058824,40.6756358640056,9.86529076802687,20.9134821774987
"64","Positive Control","Luteimonas","Gammaproteobacteria",18,35.1666666666667,30.1686436357939,7.11081749802342,15.0025135284595
"65","Antibacterial","Luteimonas","Gammaproteobacteria",21,46.3333333333333,51.9377832924484,11.3337534936123,23.641795507997
"66","Negative Control","Massilia","Betaproteobacteria",20,0.05,0.223606797749979,0.05,0.104651202720415
"67","Antifungal","Massilia","Betaproteobacteria",17,0.764705882352941,1.52189896858768,0.369114717588563,0.782488245836551
"68","Positive Control","Massilia","Betaproteobacteria",18,4.33333333333333,8.30308234757359,1.9570552775732,4.12902571130485
"69","Antibacterial+Antifungal","Massilia","Betaproteobacteria",19,4.89473684210526,18.005847003565,4.13082460428391,8.67854045551004
"70","Antibacterial","Massilia","Betaproteobacteria",21,8.66666666666667,21.7608210629409,4.74860046215791,9.9054069897312
"71","Negative Control","Myxococcus","Deltaproteobacteria",20,0,0,0,0
"72","Antifungal","Myxococcus","Deltaproteobacteria",17,0.411764705882353,0.712287119900726,0.172755001830452,0.366224243847352
"73","Antibacterial+Antifungal","Myxococcus","Deltaproteobacteria",19,2.42105263157895,3.18530984841496,0.730760196479247,1.53527020291412
"74","Antibacterial","Myxococcus","Deltaproteobacteria",21,4.23809523809524,4.8363701461402,1.05538248969105,2.20148929637998
"75","Positive Control","Myxococcus","Deltaproteobacteria",18,6.61111111111111,5.92242884285601,1.39592986529276,2.94515457535743
"76","Negative Control","Nonomuraea","Actinobacteria",20,0,0,0,0
"77","Antibacterial+Antifungal","Nonomuraea","Actinobacteria",19,4.63157894736842,10.8125982400973,2.48058016029946,5.21150553135778
"78","Antifungal","Nonomuraea","Actinobacteria",17,6.58823529411765,10.9661913598649,2.65969207573288,5.6382953256429
"79","Positive Control","Nonomuraea","Actinobacteria",18,7,6.953627914727,1.63898581745051,3.45795780950496
"80","Antibacterial","Nonomuraea","Actinobacteria",21,8.47619047619048,15.2827322413862,3.33496558675687,6.95661631186439
"81","Negative Control","Paenibacillus","Firmicutes",20,0.05,0.223606797749979,0.05,0.104651202720415
"82","Antibacterial+Antifungal","Paenibacillus","Firmicutes",19,48.7368421052632,42.00640441285,9.63693009563759,20.2464388381872
"83","Antifungal","Paenibacillus","Firmicutes",17,84.7647058823529,86.2847969022967,20.9271371478316,44.3635489372181
"84","Antibacterial","Paenibacillus","Firmicutes",21,171.904761904762,105.2163983236,22.9601004604058,47.8939303059587
"85","Positive Control","Paenibacillus","Firmicutes",18,375.388888888889,124.71244047992,29.3950041205583,62.0180376040285
"86","Negative Control","Parasegetibacter","Bacteroidetes",20,0,0,0,0
"87","Antifungal","Parasegetibacter","Bacteroidetes",17,4.17647058823529,4.83781063754111,1.17334142678345,2.48737270843407
"88","Antibacterial","Parasegetibacter","Bacteroidetes",21,4.28571428571429,4.62755720810513,1.00981577089906,2.10643878656804
"89","Antibacterial+Antifungal","Parasegetibacter","Bacteroidetes",19,5.05263157894737,5.95794226418751,1.36684569689701,2.87163625021956
"90","Positive Control","Parasegetibacter","Bacteroidetes",18,13.4444444444444,8.6447687154597,2.03759152683029,4.29894234456772
"91","Negative Control","Pedobacter","Bacteroidetes",20,0.4,0.680557047378721,0.152177182050536,0.318510502563845
"92","Antibacterial","Pedobacter","Bacteroidetes",21,25.2857142857143,27.3516779323369,5.96862545280891,12.4503345249801
"93","Antibacterial+Antifungal","Pedobacter","Bacteroidetes",19,30.0526315789474,32.0788502222095,7.35939296545201,15.461510883913
"94","Antifungal","Pedobacter","Bacteroidetes",17,45.7647058823529,61.8238722215827,14.9944914914279,31.7869019718061
"95","Positive Control","Pedobacter","Bacteroidetes",18,94.9444444444444,55.4547746018663,13.0708157233837,27.5770106281836
"96","Negative Control","Plantactinospora","Actinobacteria",20,0,0,0,0
"97","Antibacterial+Antifungal","Plantactinospora","Actinobacteria",19,3.94736842105263,5.29647350403524,1.21509435585423,2.55281851318664
"98","Antifungal","Plantactinospora","Actinobacteria",17,6.52941176470588,10.8692090734493,2.63617041627961,5.58843163512145
"99","Antibacterial","Plantactinospora","Actinobacteria",21,21.7619047619048,19.7936978907549,4.31933899368915,9.0099832571857
"100","Positive Control","Plantactinospora","Actinobacteria",18,25.3888888888889,27.8739576727071,6.56995482962601,13.8613930452062
"101","Negative Control","S0134 terrestrial group","Gemmatimonadetes",20,0.05,0.223606797749979,0.05,0.104651202720415
"102","Antifungal","S0134 terrestrial group","Gemmatimonadetes",17,21,26.8909836190497,6.52202151988801,13.8260679816457
"103","Antibacterial+Antifungal","S0134 terrestrial group","Gemmatimonadetes",19,30.1052631578947,35.0854429086134,8.04915263305323,16.9106421720457
"104","Positive Control","S0134 terrestrial group","Gemmatimonadetes",18,65.9444444444444,40.8763878659468,9.63465701680749,20.3273494611415
"105","Antibacterial","S0134 terrestrial group","Gemmatimonadetes",21,67.3809523809524,47.4989222935386,10.3651146113793,21.6212502060586
"106","Negative Control","Sandaracinus","Deltaproteobacteria",20,0,0,0,0
"107","Antifungal","Sandaracinus","Deltaproteobacteria",17,4.47058823529412,3.67623528658775,0.891618023013183,1.89014577186683
"108","Antibacterial","Sandaracinus","Deltaproteobacteria",21,10,9.47100839404126,2.06674347015506,4.31115133361886
"109","Antibacterial+Antifungal","Sandaracinus","Deltaproteobacteria",19,10.4210526315789,8.66869072181084,1.98873404364116,4.1781751844634
"110","Positive Control","Sandaracinus","Deltaproteobacteria",18,10.4444444444444,8.5764535535124,2.02148948874003,4.26497001377002
"111","Negative Control","Sphingobacterium","Bacteroidetes",20,0.05,0.223606797749979,0.05,0.104651202720415
"112","Antifungal","Sphingobacterium","Bacteroidetes",17,46.5294117647059,44.833187549876,10.8736451647803,23.0510980066693
"113","Antibacterial+Antifungal","Sphingobacterium","Bacteroidetes",19,69.7894736842105,44.7655360335858,10.2699183012542,21.5762977105797
"114","Positive Control","Sphingobacterium","Bacteroidetes",18,98.6666666666667,96.2967228078371,22.6973552344876,47.8872336493386
"115","Antibacterial","Sphingobacterium","Bacteroidetes",21,186.52380952381,218.203487379927,47.6159046581836,99.3250366254675
"116","Negative Control","Sphingobacterium sp. MIMdw12","Bacteroidetes",20,0,0,0,0
"117","Antifungal","Sphingobacterium sp. MIMdw12","Bacteroidetes",17,0.764705882352941,0.831370236770739,0.201636900011795,0.427451132853551
"118","Antibacterial+Antifungal","Sphingobacterium sp. MIMdw12","Bacteroidetes",19,2.57894736842105,2.54549251889348,0.583976034283973,1.22688812139976
"119","Antibacterial","Sphingobacterium sp. MIMdw12","Bacteroidetes",21,10.7142857142857,23.0198671958438,5.02334685298977,10.4785179182747
"120","Positive Control","Sphingobacterium sp. MIMdw12","Bacteroidetes",18,10.8888888888889,23.7285851165632,5.59288114796135,11.7999477709391
"121","Negative Control","Steroidobacter","Gammaproteobacteria",20,0,0,0,0
"122","Antifungal","Steroidobacter","Gammaproteobacteria",17,14.1176470588235,19.6274118038433,4.76034658969063,10.091483961615
"123","Antibacterial+Antifungal","Steroidobacter","Gammaproteobacteria",19,16.0526315789474,23.3677690757793,5.36093389143773,11.2629041687967
"124","Antibacterial","Steroidobacter","Gammaproteobacteria",21,20.7619047619048,24.3657644286092,5.31704570759829,11.0911629934919
"125","Positive Control","Steroidobacter","Gammaproteobacteria",18,29.5,30.5984428669557,7.21212214832451,15.2162476577717
"126","Negative Control","Streptomyces","Actinobacteria",20,0,0,0,0
"127","Antibacterial+Antifungal","Streptomyces","Actinobacteria",19,6.84210526315789,5.01401544445098,1.15029403282705,2.4166780863241
"128","Antifungal","Streptomyces","Actinobacteria",17,15.8823529411765,12.2213049269563,2.96410182921897,6.28361517519271
"129","Antibacterial","Streptomyces","Actinobacteria",21,18.0952380952381,10.1926677661188,2.22422245579884,4.63964674138429
"130","Positive Control","Streptomyces","Actinobacteria",18,20.7222222222222,12.5735743224363,2.96361988904926,6.25269140869277
"131","Negative Control","Streptosporangium","Actinobacteria",20,0.35,0.489360484929593,0.109424330980483,0.229027756879687
"132","Antibacterial+Antifungal","Streptosporangium","Actinobacteria",19,8.21052631578947,14.0735328715067,3.22868987186819,6.78322571291089
"133","Antifungal","Streptosporangium","Actinobacteria",17,13.8235294117647,20.1687731844231,4.8916460105001,10.3698262995737
"134","Antibacterial","Streptosporangium","Actinobacteria",21,25.7619047619048,20.4839077373063,4.4699551302237,9.32416301256516
"135","Positive Control","Streptosporangium","Actinobacteria",18,26.7777777777778,21.9211301650352,5.16685993032314,10.9011215694785
"136","Negative Control","Thermobacillus","Firmicutes",20,0,0,0,0
"137","Antibacterial","Thermobacillus","Firmicutes",21,0.666666666666667,0.730296743340221,0.159363814577919,0.332427092026394
"138","Antifungal","Thermobacillus","Firmicutes",17,0.705882352941177,0.587867532097255,0.142578819335774,0.302253594666618
"139","Antibacterial+Antifungal","Thermobacillus","Firmicutes",19,0.736842105263158,0.65337629647495,0.14989480254943,0.314917294393677
"140","Positive Control","Thermobacillus","Firmicutes",18,10.5555555555556,9.0112493239886,2.12397183465168,4.48118886362732
"141","Negative Control","unc_Alcaligenaceae","Betaproteobacteria",20,1.3,1.38031270293899,0.308647303397805,0.646006230339866
"142","Positive Control","unc_Alcaligenaceae","Betaproteobacteria",18,5.27777777777778,5.26705136346319,1.24145591198756,2.61924302230462
"143","Antibacterial","unc_Alcaligenaceae","Betaproteobacteria",21,13.3809523809524,15.2495120921169,3.32771635587,6.94149468121359
"144","Antibacterial+Antifungal","unc_Alcaligenaceae","Betaproteobacteria",19,877.736842105263,1386.1432041662,318.003060433481,668.099638528803
"145","Antifungal","unc_Alcaligenaceae","Betaproteobacteria",17,1853.64705882353,1725.57598866206,418.513650957842,887.209306461963
"146","Negative Control","unc_Comamonadaceae","Betaproteobacteria",20,0,0,0,0
"147","Antibacterial","unc_Comamonadaceae","Betaproteobacteria",21,1.61904761904762,3.08992217501008,0.674276298024109,1.40651571103604
"148","Antibacterial+Antifungal","unc_Comamonadaceae","Betaproteobacteria",19,2.89473684210526,2.46969941585578,0.566587903928251,1.19035701509683
"149","Antifungal","unc_Comamonadaceae","Betaproteobacteria",17,3.94117647058824,2.43594407353941,0.590803218429431,1.25244687354552
"150","Positive Control","unc_Comamonadaceae","Betaproteobacteria",18,5.27777777777778,7.74448992400446,1.82539378069815,3.851244234197
"151","Negative Control","unc_Cytophagaceae","Bacteroidetes",20,0,0,0,0
"152","Positive Control","unc_Cytophagaceae","Bacteroidetes",18,0.5,0.785905247993376,0.185239643408737,0.390821485296042
"153","Antifungal","unc_Cytophagaceae","Bacteroidetes",17,2.23529411764706,4.10075315894388,0.994578730524172,2.10841272133094
"154","Antibacterial+Antifungal","unc_Cytophagaceae","Bacteroidetes",19,2.36842105263158,4.39962784178376,1.00934385008018,2.12055274081519
"155","Antibacterial","unc_Cytophagaceae","Bacteroidetes",21,4.09523809523809,12.6842609635121,2.76793266666036,5.77380636714664
"156","Negative Control","unc_Gemmatimonadaceae","Gemmatimonadetes",20,0,0,0,0
"157","Antifungal","unc_Gemmatimonadaceae","Gemmatimonadetes",17,7.47058823529412,9.90654863624829,2.40269096544531,5.09347731003855
"158","Antibacterial","unc_Gemmatimonadaceae","Gemmatimonadetes",21,8.23809523809524,12.8643101715745,2.80722262498241,5.85576378405105
"159","Antibacterial+Antifungal","unc_Gemmatimonadaceae","Gemmatimonadetes",19,9.36842105263158,14.5189934083132,3.33088552783003,6.99793081893801
"160","Positive Control","unc_Gemmatimonadaceae","Gemmatimonadetes",18,24.9444444444444,21.7755184235503,5.13253891371501,10.8287105539916
"161","Negative Control","unc_Longimicrobiaceae","Gemmatimonadetes",20,0,0,0,0
"162","Antibacterial+Antifungal","unc_Longimicrobiaceae","Gemmatimonadetes",19,55.2105263157895,62.9087336697364,14.4322533017103,30.3210390519046
"163","Antifungal","unc_Longimicrobiaceae","Gemmatimonadetes",17,61.1176470588235,74.9015039509732,18.1662830769106,38.5107997618963
"164","Antibacterial","unc_Longimicrobiaceae","Gemmatimonadetes",21,77.0476190476191,62.9018888352935,13.7263174734967,28.6325965152808
"165","Positive Control","unc_Longimicrobiaceae","Gemmatimonadetes",18,91.7777777777778,73.3385024916136,17.2860508112955,36.4703792808895
"166","Negative Control","unc_Paenibacillaceae","Firmicutes",20,0,0,0,0
"167","Antibacterial+Antifungal","unc_Paenibacillaceae","Firmicutes",19,5.73684210526316,4.72395908890882,1.08375054115653,2.2768753980389
"168","Antifungal","unc_Paenibacillaceae","Firmicutes",17,8.35294117647059,8.06180172534797,1.95527412037626,4.14499596921581
"169","Antibacterial","unc_Paenibacillaceae","Firmicutes",21,47.0952380952381,49.204577797096,10.7373191568351,22.3976552827855
"170","Positive Control","unc_Paenibacillaceae","Firmicutes",18,91.0555555555556,53.3958273564983,12.5855172036154,26.5531202512769
"171","Negative Control","unc_Rhodocyclaceae","Betaproteobacteria",20,0,0,0,0
"172","Antibacterial","unc_Rhodocyclaceae","Betaproteobacteria",21,2.33333333333333,1.31656117720877,0.287297202457112,0.599291462827276
"173","Antifungal","unc_Rhodocyclaceae","Betaproteobacteria",17,3.41176470588235,2.18113569985374,0.529003110253087,1.12143649673004
"174","Antibacterial+Antifungal","unc_Rhodocyclaceae","Betaproteobacteria",19,7.94736842105263,6.56991192407162,1.50724116552585,3.16659618461184
"175","Positive Control","unc_Rhodocyclaceae","Betaproteobacteria",18,12.4444444444444,19.9092713319026,4.69266025575709,9.90064770907559
"176","Negative Control","unc_Sphingobacteriaceae","Bacteroidetes",20,0,0,0,0
"177","Antifungal","unc_Sphingobacteriaceae","Bacteroidetes",17,11.6470588235294,10.7351128107172,2.60364729538283,5.51948569878515
"178","Antibacterial+Antifungal","unc_Sphingobacteriaceae","Bacteroidetes",19,14,11.4455231422596,2.62578309121398,5.5165655692237
"179","Antibacterial","unc_Sphingobacteriaceae","Bacteroidetes",21,17.4285714285714,14.8747148832219,3.2459288996786,6.77088903715346
"180","Positive Control","unc_Sphingobacteriaceae","Bacteroidetes",18,21.1111111111111,14.5030986096436,3.41841312503206,7.2122212626625
"181","Negative Control","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",20,0,0,0,0
"182","Antifungal","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",17,1.88235294117647,3.15995160052287,0.766400836517375,1.62469719466079
"183","Antibacterial","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",21,3.14285714285714,2.26463494377602,0.494183859585509,1.03084946732414
"184","Antibacterial+Antifungal","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",19,3.89473684210526,6.64909966204369,1.52540807854626,3.20476345257956
"185","Positive Control","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",18,5.22222222222222,5.04748691756665,1.18970407578726,2.51005619210774
"186","Negative Control","Vulgatibacter","Deltaproteobacteria",20,0,0,0,0
"187","Antifungal","Vulgatibacter","Deltaproteobacteria",17,34.6470588235294,21.6850789036799,5.25940416586621,11.1494387619661
"188","Antibacterial","Vulgatibacter","Deltaproteobacteria",21,65.5238095238095,29.4577987086935,6.42821868520764,13.4090292083746
"189","Positive Control","Vulgatibacter","Deltaproteobacteria",18,65.7222222222222,19.5382146079257,4.60520134718077,9.71612554134095
"190","Antibacterial+Antifungal","Vulgatibacter","Deltaproteobacteria",19,73.8947368421053,38.5960486418006,8.85454082366257,18.6026999726467
