"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"1","Negative Control","Achromobacter","Betaproteobacteria",20,0,0,0,0
"2","Antibacterial","Achromobacter","Betaproteobacteria",21,0.0952380952380952,0.300792603759119,0.0656383273909058,0.136919151677099
"3","Positive Control","Achromobacter","Betaproteobacteria",18,0.111111111111111,0.323380833381777,0.0762215933966706,0.160813505115573
"4","Antibacterial+Antifungal","Achromobacter","Betaproteobacteria",19,3.42105263157895,5.64028948699231,1.29397115190076,2.71853251246438
"5","Antifungal","Achromobacter","Betaproteobacteria",17,10.5882352941176,16.4357036034718,3.98624364637995,8.45045902994791
"6","Negative Control","Adhaeribacter","Bacteroidetes",20,0.2,0.410391340834062,0.0917662935482247,0.192069059780328
"7","Antifungal","Adhaeribacter","Bacteroidetes",17,6.23529411764706,6.21016718539753,1.50618677989051,3.1929733363069
"8","Antibacterial+Antifungal","Adhaeribacter","Bacteroidetes",19,7.21052631578947,6.18761260160996,1.41953568590508,2.98233380942667
"9","Antibacterial","Adhaeribacter","Bacteroidetes",21,16.952380952381,16.3599394573335,3.57003147276789,7.44695515778255
"10","Positive Control","Adhaeribacter","Bacteroidetes",18,65.6666666666667,53.7368314922226,12.6658926492098,26.7226976184674
"11","Negative Control","AKYG937","Alphaproteobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"12","Antifungal","AKYG937","Alphaproteobacteria",17,83.5294117647059,71.751409086389,17.402272850005,36.8911704332197
"13","Antibacterial+Antifungal","AKYG937","Alphaproteobacteria",19,107.315789473684,70.9562092119569,16.2784708090342,34.1997981041203
"14","Positive Control","AKYG937","Alphaproteobacteria",18,144.888888888889,122.6452986504,28.9077741187823,60.9900721562937
"15","Antibacterial","AKYG937","Alphaproteobacteria",21,191.619047619048,145.673084744738,31.7884732171657,66.3095931753975
"16","Negative Control","Anaeromyxobacter","Deltaproteobacteria",20,0,0,0,0
"17","Antibacterial+Antifungal","Anaeromyxobacter","Deltaproteobacteria",19,0.842105263157895,1.60772986587842,0.368838527046116,0.774900990761226
"18","Antifungal","Anaeromyxobacter","Deltaproteobacteria",17,1.11764705882353,1.93269090069961,0.468746395603213,0.993697968030113
"19","Positive Control","Anaeromyxobacter","Deltaproteobacteria",18,6.88888888888889,6.36062232331627,1.49921305912782,3.16306306663902
"20","Antibacterial","Anaeromyxobacter","Deltaproteobacteria",21,7.90476190476191,9.15371379225264,1.99750411156948,4.1667205624972
"21","Negative Control","Arcticibacter","Bacteroidetes",20,0,0,0,0
"22","Antibacterial","Arcticibacter","Bacteroidetes",21,9.09523809523809,6.12294669178788,1.3361365091094,2.78713191855962
"23","Antibacterial+Antifungal","Arcticibacter","Bacteroidetes",19,9.78947368421053,6.23234348083912,1.42979765339012,3.00389340309222
"24","Antifungal","Arcticibacter","Bacteroidetes",17,10.5294117647059,11.3364326788612,2.74948878544992,5.8286558464247
"25","Positive Control","Arcticibacter","Bacteroidetes",18,32.2777777777778,16.0945937417637,3.79353212508122,8.00365317250749
"26","Negative Control","Brevundimonas","Alphaproteobacteria",20,0,0,0,0
"27","Antibacterial+Antifungal","Brevundimonas","Alphaproteobacteria",19,13.4210526315789,14.5728659176097,3.34324472908574,7.0238965372559
"28","Antifungal","Brevundimonas","Alphaproteobacteria",17,13.5882352941176,14.3616626106164,3.48321481782678,7.38408555063698
"29","Antibacterial","Brevundimonas","Alphaproteobacteria",21,26.2380952380952,23.7063383125795,5.17314713179178,10.7909958242459
"30","Positive Control","Brevundimonas","Alphaproteobacteria",18,53.3888888888889,26.9643313174774,6.35555384158302,13.4090465007302
"31","Negative Control","Cohnella","Firmicutes",20,0,0,0,0
"32","Antibacterial+Antifungal","Cohnella","Firmicutes",19,3.47368421052632,4.42679243110293,1.01557583427413,2.13364565376269
"33","Antifungal","Cohnella","Firmicutes",17,5.35294117647059,7.16712264851269,1.73828257126908,3.68499443437728
"34","Antibacterial","Cohnella","Firmicutes",21,6.61904761904762,6.28868977193334,1.37230461437996,2.86257726411087
"35","Positive Control","Cohnella","Firmicutes",18,12.7222222222222,12.0284249399474,2.83512694734339,5.9815949986401
