Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Ambiguous_taxa,KP214609.6.1239
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Steroidobacter,uncultured gamma proteobacterium,FJ535077.1.1465
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,unc_Comamonadaceae,uncultured bacterium,KC762316.1.1432
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured Xanthomonas sp.,HM438418.1.1491
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,JQ426074.1.1442
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,GQ140334.1.1478
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured proteobacterium,FN794266.1.1442
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,FJ950599.1.1456
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,uncultured,unc_Myxococcales,uncultured bacterium,New.ReferenceOTU758
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,uncultured bacterium,New.ReferenceOTU1040
Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101 soil group,DA101 soil group,Ambiguous_taxa,EU335316.1.1528
