"","Treatment","Day","N","N20","sd","se","ci"
"48","Antifungal","20",4,0.61658584525,0.612751872599905,0.306375936299953,0.975024966505621
"49","Antifungal","23",4,1.30729750125,1.87026064433196,0.935130322165978,2.97600203873588
"50","Antifungal","26",4,0.94433344325,0.754297723203725,0.377148861601862,1.2002560011468
"51","Antifungal","27",4,0.88720747325,0.831581776740785,0.415790888370392,1.32323217646499
"52","Antifungal","29",4,1.9476088715,2.06724239001608,1.03362119500804,3.28944395311626
"53","Antifungal","32",4,4.19434364675,2.43293190276844,1.21646595138422,3.87133757248615
"54","Antifungal","35",4,7.73209731425,6.05656789162581,3.0282839458129,9.63735105470225
"55","Antifungal","36",4,12.397237733,9.87303937581651,4.93651968790825,15.7102088417439
"56","Antifungal","37",4,24.6899757775,22.6927945080959,11.3463972540479,36.1093000194261
"57","Antifungal","38",4,72.6082102925,41.670198463838,20.835099231919,66.3065845708401
"58","Antifungal","39",4,98.72092203,49.0632949572791,24.5316474786395,78.0706508809188
"59","Antifungal","40",4,105.315104735,6.28486848652184,3.14243424326092,10.0006282470627
"60","Antifungal","41",4,261.72466333,173.368669592119,86.6843347960596,275.868240997696
"61","Antifungal","42",4,123.874115945,72.575581083669,36.2877905418345,115.48394493677
"62","Antifungal","5",4,4.73902973,6.47223343862947,3.23611671931474,10.29876769685
"63","Antifungal","8",4,0.4696042405,0.563922475470067,0.281961237735034,0.897326499263079
"64","Negative Control","-1",4,0.209805496,0.131705212768063,0.0658526063840315,0.209572383880163
"65","Negative Control","10",4,0.4950355755,0.391834364759621,0.195917182379811,0.623495913206223
"66","Negative Control","14",4,0.2013230695,0.446901594606023,0.223450797303012,0.711120164289668
"67","Negative Control","17",4,1.49641747175,2.4673539556419,1.23367697782095,3.92611073997986
"68","Negative Control","2",4,0.92179226175,0.56682252699185,0.283411263495925,0.901941128388394
"69","Negative Control","20",4,1.2495029345,1.49939381609612,0.749696908048058,2.38587015510016
"70","Negative Control","23",4,0.514141513,1.18208306683259,0.591041533416294,1.8809579442899
"71","Negative Control","26",4,0.63374160525,0.871507301840288,0.435753650920144,1.3867625963847
"72","Negative Control","27",4,0.30306016,0.49891021272306,0.24945510636153,0.793877481574405
"73","Negative Control","29",4,0.39020048175,0.672704399650762,0.336352199825381,1.07042281560833
"74","Negative Control","32",4,0.138203672,0.186523229758144,0.093261614879072,0.296800081696695
"75","Negative Control","35",4,-0.06490967925,0.0472586539048016,0.0236293269524008,0.0751990642560087
"76","Negative Control","36",4,0.167166795,0.0990368378889081,0.049518418944454,0.157589709413269
"77","Negative Control","37",4,0.078831646,0.0995768299148402,0.0497884149574201,0.158448957227174
"78","Negative Control","38",4,0.1412531175,0.0772078241810704,0.0386039120905352,0.122854877402021
"79","Negative Control","39",4,-0.1274358795,1.05553945438943,0.527769727194716,1.67959881835142
"80","Negative Control","40",4,0.40752277875,0.14398857313064,0.07199428656532,0.229117951281339
"81","Negative Control","41",4,64.56721030775,76.6832163154288,38.3416081577144,122.020109220154
"82","Negative Control","42",4,31.421421764,35.457858400804,17.728929200402,56.4213652304558
"83","Negative Control","5",4,0.7665980155,0.87138837278407,0.435694186392035,1.38657335371692
"84","Negative Control","8",4,0.69081214025,0.296576177305162,0.148288088652581,0.471918879849989
"85","Positive Control","-1",4,1.2903014995,1.25605629747622,0.62802814873811,1.99866586156576
"86","Positive Control","10",4,0.050256122,0.341118842743029,0.170559421371514,0.542796200375103
"87","Positive Control","14",4,-0.37470257725,0.642360462506353,0.321180231253176,1.02213884028184
"88","Positive Control","17",4,0.18178144375,0.338440468153208,0.169220234076604,0.538534308716332
"89","Positive Control","2",4,4.686521177,7.05836585581694,3.52918292790847,11.2314351695927
"90","Positive Control","20",4,0.19420463875,0.1493071186812,0.0746535593405998,0.23758094409977
"91","Positive Control","23",4,0.20803907275,0.117989574445706,0.058994787222853,0.187747742628367
"92","Positive Control","26",4,1.05932828975,0.559315075766519,0.27965753788326,0.889995098181318
"93","Positive Control","27",4,1.18682038,0.677226459330956,0.338613229665478,1.07761842166908
"94","Positive Control","29",4,3.635957606,1.72042359825234,0.860211799126168,2.73757786189052
"95","Positive Control","32",4,6.8000729345,3.03067559170568,1.51533779585284,4.82248116966863
"96","Positive Control","35",4,17.56027513,7.02155107142712,3.51077553571356,11.172854632312
"97","Positive Control","36",4,20.91486784,7.25171284698485,3.62585642349242,11.5390933784327
"98","Positive Control","37",4,36.29425333,19.7617750101145,9.88088750505725,31.4453939333934
"99","Positive Control","38",4,87.9308494625,16.9118041081336,8.4559020540668,26.9104542498058
"100","Positive Control","39",4,105.623945385,31.7370496886786,15.8685248443393,50.5007282611704
"101","Positive Control","40",4,133.693064205,29.1358741592167,14.5679370796084,46.3616775346052
"102","Positive Control","41",4,1080.35507565,378.305210162557,189.152605081278,601.968009175703
"103","Positive Control","42",4,729.74094535,214.503626057962,107.251813028981,341.323136109059
"104","Positive Control","5",4,0.932006902,0.821596944681908,0.410798472340954,1.30734408051766
"105","Positive Control","8",4,-0.0045048505,0.153913127579289,0.0769565637896445,0.244910132099684
