"","Treatment","Day","N","N20","sd","se","ci"
"1","Antibacterial","-1",4,2.28535773125,3.53442259625907,1.76721129812954,5.62405506638797
"2","Antibacterial","10",4,0.28765369025,0.112108356251981,0.0560541781259907,0.178389412072774
"3","Antibacterial","14",4,-0.3810131845,0.567463014512728,0.283731507256364,0.902960286960593
"4","Antibacterial","17",4,0.338120507,0.470899754444124,0.235449877222062,0.749306591844854
"5","Antibacterial","2",4,1.0528858925,1.49826199135727,0.749130995678634,2.38406916937097
"6","Antibacterial","20",4,0.1208349615,0.447937194685691,0.223968597342845,0.712768035113313
"7","Antibacterial","23",4,0.3522160075,0.393333397142337,0.196666698571169,0.62588120824016
"8","Antibacterial","26",4,1.1379573655,1.09970116400177,0.549850582000883,1.74986995314681
"9","Antibacterial","27",4,1.61802360225,1.9516588968126,0.975829448406302,3.10552482266767
"10","Antibacterial","29",4,2.5226405745,2.69901558289164,1.34950779144582,4.29473608483833
"11","Antibacterial","32",4,4.56273237525,3.14392648960828,1.57196324480414,5.00268862046872
"12","Antibacterial","35",4,8.1364949855,6.0828491634741,3.04142458173705,9.67917042294812
"13","Antibacterial","36",4,10.52819234075,6.9824452598162,3.4912226299081,11.1106285594739
"14","Antibacterial","37",4,20.39340397175,16.593074787358,8.29653739367899,26.4032847751618
"15","Antibacterial","38",4,56.7652963075,33.0511744384036,16.5255872192018,52.5917939883925
"16","Antibacterial","39",4,85.957252395,37.6379961845768,18.8189980922884,59.8904509479444
"17","Antibacterial","40",4,126.01423104,86.8858690460466,43.4429345230233,138.254806463478
"18","Antibacterial","41",4,981.18042845,479.797544262505,239.898772131252,763.464961011202
"19","Antibacterial","42",4,427.566979225,207.317202298869,103.658601149435,329.887932238896
"20","Antibacterial","5",4,0.87093401875,0.730601700448173,0.365300850224087,1.16255034111264
"21","Antibacterial","8",4,0.045717579,0.753193090001908,0.376596545000954,1.1984982832209
"22","Antibacterial+Antifungal","-1",4,6.53477950575,10.9567904017974,5.47839520089871,17.4346985659841
"23","Antibacterial+Antifungal","10",4,0.4596240395,0.365143075371733,0.182571537685866,0.58102411555835
"24","Antibacterial+Antifungal","14",4,2.583601788,4.89644529005453,2.44822264502727,7.79133711117893
"25","Antibacterial+Antifungal","17",4,0.53532050275,0.269214153266477,0.134607076633239,0.428379793696491
"26","Antibacterial+Antifungal","2",4,1.90811291625,1.90188645173438,0.950943225867191,3.02632575569561
"27","Antibacterial+Antifungal","20",4,0.30833576175,0.458929364734418,0.229464682367209,0.730259030592623
"28","Antibacterial+Antifungal","23",4,0.5887748065,0.901295558693388,0.450647779346694,1.43416236036619
"29","Antibacterial+Antifungal","26",4,1.126332885,0.973078519858038,0.486539259929019,1.54838507013658
"30","Antibacterial+Antifungal","27",4,0.974393928,0.835454771933273,0.417727385966636,1.32939497608534
"31","Antibacterial+Antifungal","29",4,1.18676582475,0.999651102711914,0.499825551355957,1.59066797919916
"32","Antibacterial+Antifungal","32",4,2.9886775175,2.28127194036127,1.14063597018063,3.63001272897506
"33","Antibacterial+Antifungal","35",4,7.614162277,7.47055973392374,3.73527986696187,11.8873276118134
"34","Antibacterial+Antifungal","36",4,10.2905546265,9.50795259638741,4.75397629819371,15.1292743055929
"35","Antibacterial+Antifungal","37",4,16.408466596,12.913829224898,6.45691461244901,20.5487840519207
"36","Antibacterial+Antifungal","38",4,56.2892455775,30.3536055420348,15.1768027710174,48.2993599046439
"37","Antibacterial+Antifungal","39",4,80.3086943325,37.4711504013091,18.7355752006546,59.6249620746882
"38","Antibacterial+Antifungal","40",4,128.82430269,84.0352448807309,42.0176224403655,133.718827292147
"39","Antibacterial+Antifungal","41",4,156.13534622,74.1880589362154,37.0940294681077,118.049757028864
"40","Antibacterial+Antifungal","42",4,79.182846325,47.6399726997285,23.8199863498643,75.8058275510338
"41","Antibacterial+Antifungal","5",4,1.99692503525,1.86726751190271,0.933633755951357,2.97123929711555
"42","Antibacterial+Antifungal","8",4,6.00108262075,10.8526360862821,5.42631804314103,17.2689658076885
"43","Antifungal","-1",4,1.6002795225,2.84246944096415,1.42123472048207,4.5230031851391
"44","Antifungal","10",4,0.39035808475,0.497089762595282,0.248544881297641,0.790980739182855
"45","Antifungal","14",4,-0.38773200375,0.654436252054525,0.327218126027262,1.04135411619732
"46","Antifungal","17",4,0.2615327675,0.120408552214961,0.0602042761074806,0.191596876060532
"47","Antifungal","2",4,1.1201368815,2.54365262599589,1.27182631299795,4.04751895076291
