"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"1","Positive Control","Adhaeribacter","Bacteroidetes",18,0,0,0,0
"2","Antibacterial","Adhaeribacter","Bacteroidetes",21,0.0952380952380952,0.300792603759119,0.0656383273909058,0.136919151677099
"3","Antibacterial+Antifungal","Adhaeribacter","Bacteroidetes",19,0.105263157894737,0.458831467741124,0.105263157894737,0.221149688446425
"4","Antifungal","Adhaeribacter","Bacteroidetes",17,1.70588235294118,3.34971464983125,0.812425136290184,1.72226435164211
"5","Negative Control","Adhaeribacter","Bacteroidetes",20,15.25,4.95107643798163,1.10709434771244,2.31717510026162
"6","Negative Control","Brevundimonas","Alphaproteobacteria",20,0.1,0.307793505625546,0.0688247201611685,0.144051794835246
"7","Antifungal","Brevundimonas","Alphaproteobacteria",17,18.7647058823529,15.0852966981292,3.6587218635393,7.75614386689362
"8","Antibacterial+Antifungal","Brevundimonas","Alphaproteobacteria",19,21.5789473684211,16.0565521048909,3.68362568457446,7.73901038872046
"9","Antibacterial","Brevundimonas","Alphaproteobacteria",21,35.5238095238095,28.8506829167336,6.2957351579572,13.1326734131653
"10","Positive Control","Brevundimonas","Alphaproteobacteria",18,66.3333333333333,26.3260103990219,6.20510015824533,13.091616975882
"11","Negative Control","Flavobacterium","Bacteroidetes",20,0,0,0,0
"12","Antibacterial+Antifungal","Flavobacterium","Bacteroidetes",19,2.31578947368421,3.5598475557084,0.816685039460167,1.71579159933699
"13","Antibacterial","Flavobacterium","Bacteroidetes",21,3.76190476190476,6.38674222044981,1.3937014128277,2.90721020356137
"14","Antifungal","Flavobacterium","Bacteroidetes",17,5.23529411764706,10.1459931239178,2.46076478392375,5.21658830557701
"15","Positive Control","Flavobacterium","Bacteroidetes",18,13.1666666666667,11.0945137475293,2.61500196828179,5.51717188874571
"16","Negative Control","Kocuria","Actinobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"17","Positive Control","Kocuria","Actinobacteria",18,5.5,4.28746462856272,1.01056510431805,2.13210599950498
"18","Antibacterial+Antifungal","Kocuria","Actinobacteria",19,5.78947368421053,3.3760421826028,0.774517194899793,1.62720024531064
"19","Antibacterial","Kocuria","Actinobacteria",21,7.23809523809524,8.06786689221359,1.76055289192366,3.67244897953097
"20","Antifungal","Kocuria","Actinobacteria",17,35,35.0945152409889,8.51167018932035,18.0439347395638
"21","Negative Control","Luteimonas","Gammaproteobacteria",20,0,0,0,0
"22","Antibacterial+Antifungal","Luteimonas","Gammaproteobacteria",19,21.5263157894737,20.2576965375101,4.64743431768001,9.76389718858651
"23","Antifungal","Luteimonas","Gammaproteobacteria",17,26.4117647058824,40.6756358640056,9.86529076802687,20.9134821774987
"24","Positive Control","Luteimonas","Gammaproteobacteria",18,35.1666666666667,30.1686436357939,7.11081749802342,15.0025135284595
"25","Antibacterial","Luteimonas","Gammaproteobacteria",21,46.3333333333333,51.9377832924484,11.3337534936123,23.641795507997
"26","Negative Control","Nitrosospira","Betaproteobacteria",20,8.45,3.59055779276116,0.802873130175556,1.68043277409553
"27","Antifungal","Nitrosospira","Betaproteobacteria",17,9.94117647058824,16.4638641736809,3.99307358787697,8.46493785912083
"28","Antibacterial+Antifungal","Nitrosospira","Betaproteobacteria",19,10.1052631578947,13.7957108344188,3.16495312534425,6.6493197773655
"29","Antibacterial","Nitrosospira","Betaproteobacteria",21,13.6190476190476,20.531624851619,4.48036785823717,9.34588358258759
