Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,Plantactinospora sp. lxw064,KF998931.1.1465
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,Plantactinospora sp. lxw064,KF179222.1.1257
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Luedemannella,uncultured bacterium,New.ReferenceOTU555
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured bacterium,KF064625.1.1363
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unc_Chitinophagaceae,uncultured bacterium,AY218593.1.1488
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,FJ946553.1.1290
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,uncultured bacterium,LN564230.1.1370
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,GU138374.1.1443
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Ambiguous_taxa,FN811256.1.1488
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,HM268907.1.1346
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Parasegetibacter,uncultured bacterium,New.ReferenceOTU601
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unc_Chitinophagaceae,uncultured Bacteroidetes bacterium,New.CleanUp.ReferenceOTU320644
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,uncultured Firmicutes bacterium,New.ReferenceOTU109
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus gansuensis,New.ReferenceOTU1208
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,uncultured bacterium,New.ReferenceOTU1025
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,New.ReferenceOTU41
Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,unc_Longimicrobiaceae,uncultured bacterium,New.ReferenceOTU132
Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,unc_Longimicrobiaceae,uncultured forest soil bacterium,New.ReferenceOTU348
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella,uncultured bacterium,GQ263916.1.1453
Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101 soil group,DA101 soil group,Ambiguous_taxa,EU335316.1.1528
