,Domain,Phylum,Class,Order,Family,Genus,Species,OTU
New.ReferenceOTU1751,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Leotiomycetes,unc_Helotiales,Holwaya mucida subsp. nipponica,New.ReferenceOTU1751
New.ReferenceOTU1536,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tremellaceae,Tremella,Tremella ramalinae,New.ReferenceOTU1536
New.ReferenceOTU3543,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Cryptomycota,unc_LKM11,uncultured eukaryote,New.ReferenceOTU3543
New.CleanUp.ReferenceOTU962382,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tremellomycetes,unc_Tremellales,uncultured eukaryote,New.CleanUp.ReferenceOTU962382
New.CleanUp.ReferenceOTU2211657,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Dothideomycetes,unc_Pleosporales,cf. Phoma sp. HY-2004,New.CleanUp.ReferenceOTU2211657
New.CleanUp.ReferenceOTU2295790,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tapinellaceae,Tapinella,Tapinella atrotomentosa,New.CleanUp.ReferenceOTU2295790
