"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"1","Negative Control","Achromobacter","Betaproteobacteria",20,0,0,0,0
"2","Antibacterial","Achromobacter","Betaproteobacteria",21,0.0952380952380952,0.300792603759119,0.0656383273909058,0.136919151677099
"3","Positive Control","Achromobacter","Betaproteobacteria",18,0.111111111111111,0.323380833381777,0.0762215933966706,0.160813505115573
"4","Antibacterial+Antifungal","Achromobacter","Betaproteobacteria",19,3.42105263157895,5.64028948699231,1.29397115190076,2.71853251246438
"5","Antifungal","Achromobacter","Betaproteobacteria",17,10.5882352941176,16.4357036034718,3.98624364637995,8.45045902994791
"6","Negative Control","Adhaeribacter","Bacteroidetes",20,0.2,0.410391340834062,0.0917662935482247,0.192069059780328
"7","Antifungal","Adhaeribacter","Bacteroidetes",17,5.82352941176471,5.69248730913876,1.38063096753336,2.92680690434294
"8","Antibacterial+Antifungal","Adhaeribacter","Bacteroidetes",19,6.73684210526316,5.88635055080969,1.35042143143339,2.83713014891226
"9","Antibacterial","Adhaeribacter","Bacteroidetes",21,15.4285714285714,14.5793395891975,3.18147272618877,6.63643581530305
"10","Positive Control","Adhaeribacter","Bacteroidetes",18,60.3333333333333,49.9434974864243,11.771795249608,24.8363169966871
"11","Negative Control","AKYG937","Alphaproteobacteria",20,0.15,0.366347548532523,0.0819178021909125,0.171455930469842
"12","Antifungal","AKYG937","Alphaproteobacteria",17,80.5882352941177,69.1854923588839,16.7799466327083,35.5718977873282
"13","Antibacterial+Antifungal","AKYG937","Alphaproteobacteria",19,103.789473684211,68.989998427605,15.8273911189979,33.2521148414179
"14","Positive Control","AKYG937","Alphaproteobacteria",18,140.055555555556,117.406519621668,27.6729820599977,58.3848886352851
"15","Antibacterial","AKYG937","Alphaproteobacteria",21,186,141.99542246143,30.9859415127017,64.6355413746137
"16","Negative Control","Anaeromyxobacter","Deltaproteobacteria",20,0,0,0,0
"17","Antibacterial+Antifungal","Anaeromyxobacter","Deltaproteobacteria",19,0.842105263157895,1.60772986587842,0.368838527046116,0.774900990761226
"18","Antifungal","Anaeromyxobacter","Deltaproteobacteria",17,1.11764705882353,1.93269090069961,0.468746395603213,0.993697968030113
"19","Positive Control","Anaeromyxobacter","Deltaproteobacteria",18,6.88888888888889,6.36062232331627,1.49921305912782,3.16306306663902
"20","Antibacterial","Anaeromyxobacter","Deltaproteobacteria",21,7.90476190476191,9.15371379225264,1.99750411156948,4.1667205624972
"21","Negative Control","Arcticibacter","Bacteroidetes",20,0,0,0,0
"22","Antibacterial","Arcticibacter","Bacteroidetes",21,9.09523809523809,6.12294669178788,1.3361365091094,2.78713191855962
"23","Antibacterial+Antifungal","Arcticibacter","Bacteroidetes",19,9.78947368421053,6.23234348083912,1.42979765339012,3.00389340309222
"24","Antifungal","Arcticibacter","Bacteroidetes",17,10.5294117647059,11.3364326788612,2.74948878544992,5.8286558464247
"25","Positive Control","Arcticibacter","Bacteroidetes",18,32.2777777777778,16.0945937417637,3.79353212508122,8.00365317250749
"26","Negative Control","Brevundimonas","Alphaproteobacteria",20,0,0,0,0
"27","Antibacterial+Antifungal","Brevundimonas","Alphaproteobacteria",19,13.4210526315789,14.5728659176097,3.34324472908574,7.0238965372559
"28","Antifungal","Brevundimonas","Alphaproteobacteria",17,13.5882352941176,14.3616626106164,3.48321481782678,7.38408555063698
"29","Antibacterial","Brevundimonas","Alphaproteobacteria",21,26.2380952380952,23.7063383125795,5.17314713179178,10.7909958242459
"30","Positive Control","Brevundimonas","Alphaproteobacteria",18,53.3888888888889,26.9643313174774,6.35555384158302,13.4090465007302
"31","Negative Control","Flavobacterium","Bacteroidetes",20,0,0,0,0
"32","Antibacterial","Flavobacterium","Bacteroidetes",21,45.3809523809524,55.3186010221482,12.0715084058598,25.1807252879862
"33","Antifungal","Flavobacterium","Bacteroidetes",17,58.1176470588235,75.7156542210239,18.3637435215309,38.9293972048333
"34","Antibacterial+Antifungal","Flavobacterium","Bacteroidetes",19,73.8421052631579,86.3952565299577,19.8204311797557,41.6411807126294
"35","Positive Control","Flavobacterium","Bacteroidetes",18,199.944444444444,101.355212421302,23.8896526705686,50.402761353393
