"","Treatment","Day","Phylum","N","Abundance","sd","se","ci"
"294","Antibacterial+Antifungal","21","Acidobacteria",3,0.0222722116666667,0.00360182745060467,0.00207951604818119,0.00894743540126461
"295","Antibacterial+Antifungal","21","Actinobacteria",3,0.0125302263333333,0.000887300041939779,0.000512282918065898,0.00220417549582025
"296","Antibacterial+Antifungal","21","Alphaproteobacteria",3,0.336544961666667,0.0131143680225408,0.00757158390806575,0.0325778961705662
"297","Antibacterial+Antifungal","21","Bacteroidetes",6,0.108029944,0.0888147410274004,0.0362584661924269,0.093205354582286
"298","Antibacterial+Antifungal","21","Betaproteobacteria",3,0.163385292,0.0175790045270784,0.0101492429957944,0.0436686680807453
"299","Antibacterial+Antifungal","21","Deltaproteobacteria",3,0.0277488226666667,0.00361947986151454,0.00208970767237185,0.00899128642090914
"300","Antibacterial+Antifungal","21","Firmicutes",3,0.024243747,0.00521834162333581,0.00301281094095636,0.0129630792193249
"301","Antibacterial+Antifungal","21","Gammaproteobacteria",3,0.024775682,0.00125496984956253,0.000724557180469791,0.00311751793040792
"302","Antibacterial+Antifungal","21","Gemmatimonadetes",3,0.011063541,0.000850365401872042,0.000490958693680367,0.00211242476355806
"303","Antibacterial+Antifungal","21","Others",3,0.011601294,0.00122748619640019,0.000708689485918198,0.00304924475113068
"304","Antibacterial+Antifungal","21","Verrucomicrobia",6,0.0466554568333333,0.0355710621110131,0.014521825296805,0.0373295403282509
"305","Antibacterial+Antifungal","27","Acidobacteria",3,0.018702684,0.002037982193986,0.00117662956830148,0.00506262842395631
"306","Antibacterial+Antifungal","27","Actinobacteria",3,0.014756325,0.00073320839856551,0.000423318066283892,0.00182139063344865
"307","Antibacterial+Antifungal","27","Alphaproteobacteria",3,0.409531626,0.0191473297359542,0.0110547159773157,0.0475646038764024
"308","Antibacterial+Antifungal","27","Bacteroidetes",6,0.090289137,0.0798865363103933,0.0326135418797974,0.0838357783519714
"309","Antibacterial+Antifungal","27","Betaproteobacteria",3,0.155395664333333,0.0345704718576669,0.0199592712330364,0.0858778128546339
"310","Antibacterial+Antifungal","27","Deltaproteobacteria",3,0.0222186373333333,0.00115435006773783,0.000666464322347499,0.00286756453582909
"311","Antibacterial+Antifungal","27","Firmicutes",2,0.011146719,0.00118432041988729,0.000837441,0.0106406968004669
"312","Antibacterial+Antifungal","27","Gammaproteobacteria",3,0.029227172,0.00220161330129226,0.00127110203215255,0.00546911062843124
"313","Antibacterial+Antifungal","27","Gemmatimonadetes",3,0.0225366906666667,0.00298255721559073,0.00172198021129477,0.00740908285670199
"314","Antibacterial+Antifungal","27","Others",1,0.010835262,NA,NA,NA
"315","Antibacterial+Antifungal","27","Verrucomicrobia",6,0.0353176645,0.0232373614426612,0.00948661308385733,0.0243861152750734
"316","Antibacterial+Antifungal","33","Acidobacteria",2,0.022666742,0.00284741011339392,0.002013423,0.0255829648585231
"317","Antibacterial+Antifungal","33","Actinobacteria",2,0.0158565115,0.000369318336279827,0.0002611475,0.00331819360134017
"318","Antibacterial+Antifungal","33","Alphaproteobacteria",2,0.3535545205,0.0516758111677054,0.0365403165,0.464288742573622
"319","Antibacterial+Antifungal","33","Bacteroidetes",4,0.096293387,0.0890263745017397,0.0445131872508699,0.141660828302933
"320","Antibacterial+Antifungal","33","Betaproteobacteria",2,0.1592222435,0.027124748355284,0.0191800935,0.243706194869973
"321","Antibacterial+Antifungal","33","Deltaproteobacteria",2,0.032251176,0.0122292463176345,0.008647383,0.109875418830116
"322","Antibacterial+Antifungal","33","Firmicutes",1,0.012692656,NA,NA,NA
"323","Antibacterial+Antifungal","33","Gammaproteobacteria",2,0.0274960535,0.00611918682598305,0.0043269185,0.0549787123377419
"324","Antibacterial+Antifungal","33","Gemmatimonadetes",2,0.0382720735,0.000416966019623304,0.000294839500000001,0.00374629105131139
"325","Antibacterial+Antifungal","33","Others",2,0.0127214595,0.0000407343003438131,0.0000288034999999997,0.000365983168118404
"326","Antibacterial+Antifungal","33","Verrucomicrobia",4,0.03722445975,0.0239963479359482,0.0119981739679741,0.0381835444145303
"327","Antibacterial+Antifungal","42","Acidobacteria",3,0.0133135536666667,0.00129912678803777,0.00075005120078506,0.0032272098465097
"328","Antibacterial+Antifungal","42","Actinobacteria",5,0.0143283072,0.00242174999226865,0.00108303952144446,0.00300699977805023
"329","Antibacterial+Antifungal","42","Alphaproteobacteria",3,0.315307970333333,0.0128298899590606,0.00740734042153691,0.0318712134849093
"330","Antibacterial+Antifungal","42","Bacteroidetes",9,0.0934022335555556,0.107536661652099,0.0358455538840331,0.082659995485264
"331","Antibacterial+Antifungal","42","Betaproteobacteria",3,0.123145199333333,0.006751096238232,0.00389774723046832,0.0167706527610479
"332","Antibacterial+Antifungal","42","Deltaproteobacteria",3,0.0240376453333333,0.00522680716853514,0.00301769852575603,0.0129841087994051
"333","Antibacterial+Antifungal","42","Firmicutes",3,0.02197146,0.00198017948789674,0.00114325716038096,0.00491903854191875
"334","Antibacterial+Antifungal","42","Gammaproteobacteria",3,0.0410280463333333,0.00217436728076407,0.00125537153486625,0.00540142776134204
"335","Antibacterial+Antifungal","42","Gemmatimonadetes",6,0.025975833,0.00522871015592301,0.00213461198248661,0.00548719478831169
"336","Antibacterial+Antifungal","42","Others",1,0.012032086,NA,NA,NA
"337","Antibacterial+Antifungal","42","Verrucomicrobia",6,0.025368461,0.0155756153117263,0.00635871832393503,0.0163456058214352
"338","Antibacterial+Antifungal","51","Acidobacteria",3,0.014412211,0.00247747094773763,0.0014303685185858,0.00615437901104088
"339","Antibacterial+Antifungal","51","Actinobacteria",6,0.0177401111666667,0.0068468463108889,0.0027952133014892,0.00718532453953715
"340","Antibacterial+Antifungal","51","Alphaproteobacteria",3,0.308681753,0.0435501852120735,0.0251437111554487,0.108184657439023
"341","Antibacterial+Antifungal","51","Bacteroidetes",9,0.073349499,0.0822915930414344,0.0274305310138115,0.0632549179486954
"342","Antibacterial+Antifungal","51","Betaproteobacteria",3,0.150013450666667,0.0106888349565579,0.00617120173949219,0.0265525380102607
"343","Antibacterial+Antifungal","51","Deltaproteobacteria",3,0.0328028383333333,0.00608869948978371,0.00351531228944136,0.0151251680180867
"344","Antibacterial+Antifungal","51","Firmicutes",3,0.0212566946666667,0.00671085799283775,0.00387451566865823,0.0166706954182094
"345","Antibacterial+Antifungal","51","Gammaproteobacteria",3,0.0519476356666667,0.017537797774165,0.0101254522659074,0.0435663048318542
"346","Antibacterial+Antifungal","51","Gemmatimonadetes",5,0.0246073262,0.0113880383175213,0.00509288556166999,0.0141401171890312
"347","Antibacterial+Antifungal","51","Others",4,0.0128613445,0.00267043515261383,0.00133521757630692,0.00424925824246782
"348","Antibacterial+Antifungal","51","Verrucomicrobia",6,0.0267892278333333,0.0160576737193763,0.00655551784476186,0.0168514950949346
