,OTU,D530E11,D510E1,D205A2,D630G3,D630G2,D230B2,D305B6,D530E12,D330C4,D630G1,D405C7,D205A1,D730H6,D510E2,D310B8,D210A4,D725H1,D625F10,D405C9,D815A3,D310B7,D405C8,D530E10,D705G4,D225A11,D325C2,D305B4,D325C1,D225A10,D815A1,D205A3,D815A2,D325C3,D415D2,D305B5,D415D3,D825A4,D725H3,D415D1,D715G11,D515E4,D315B10,D715G10,D525E8,D615F7,D525E7,D710G8,D825A6,D505D12,D615F8,D715G12,D725H2,D510E3,D625F11,D805H7,D525E9,D705G6,D610F6,D705G5,D710G9,D625F12,D515E6,D410C11,D215A8,D710G7,D805H9,D810H11,D605F1,D605F2,D215A9,D315B12,D805H8,D425D6,D215A7,D810H10,D410C10,D515E5,D505D11,D230B3,D830A8,D230B1,D730H4,D330C5,D605F3,D430D7,D330C6,D425D4,D830A7,D730H5,D830A9,D210A6,D430D9,D210A5,D810H12,D505D10,Kingdom,Phylum,Class,Order,Family,Genus,Species
New.ReferenceOTU1040,New.ReferenceOTU1040,0,0.000183486,0,0,0,0,0.004858471,0,0,0,0.005865103,0,0,0,0.001372998,0,0.00065775,0.000796654,0.003209929,0.000266312,0.001145475,0.004787677,0,0.000647389,0.000233427,0.002627324,0.005288767,0.00286709,0,0.000244439,0,0.000245098,0.003820034,0.000898473,0.002807169,0.001084128,0.00043611,0.000447928,0.000873553,0,0,0,0,0.002914319,0,0.001361868,0,0.000215424,0.002001779,0,0,0.000442184,0,0.000184264,0,0.001407601,0.000832986,0.000206271,0.000632378,0,0.000557517,0,0.000799201,0,0.000223864,0.000457038,0,0.000231107,0.000425894,0,0,0.000447527,0.003098533,0,0,0.000188822,0,0.002060911,0,0,0,0,0,0.000214087,0,0,0.003176494,0,0,0,0,0,0,0,0.001048878,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,NA
LN564230.1.1370,LN564230.1.1370,0,0.021284404,0.001306905,0.001340483,0,0,0.035065484,0,0.00140647,0,0.023460411,0.002439619,0,0.014480552,0.020366133,0,0.007893006,0.038040231,0.02225551,0.021304927,0.024742268,0.022273106,0.001345895,0.016400518,0.02124183,0.037590946,0.030251745,0.022731927,0.020912125,0.015399658,0.002049647,0.020343137,0.019524618,0.025831087,0.041027856,0.03859497,0.015263846,0.007390817,0.047827036,0.036630037,0.029163654,0.015450861,0.039098741,0.053040606,0.051971794,0.068677043,0.02572973,0.011417492,0.032918149,0.089961203,0.032258065,0.007959319,0.017892288,0.049382716,0.015208287,0.053086668,0.020408163,0.022689769,0.015387858,0.018263859,0.054450846,0.042725496,0.013386613,0.003621314,0.019700022,0.01416819,0.027413588,0.033279408,0.026618399,0.000710858,0.01726122,0.010516894,0.032637885,0.000382336,0.024126046,0.021148036,0.029893238,0.040302267,0.001312336,0,0,0.001547988,0,0.021194605,0.001564945,0,0.054000397,0,0.001470588,0.00286533,0,0.00295421,0,0.022678444,0.035452066,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,NA
FJ936965.1.1497,FJ936965.1.1497,0.065217391,0.00293578,0.010019604,0.08847185,0.063202247,0.145057766,0.005703422,0.079528719,0.091420534,0.096075778,0.006541845,0.013173945,0.072580645,0.002525678,0.007551487,0.004621987,0.003946503,0.002589126,0.005777873,0.003195739,0.008934708,0.003955037,0.071332436,0.004315926,0.003267974,0.001818917,0.009096679,0.00286709,0.003114572,0.004155463,0.012525621,0.004656863,0.002334465,0.006513926,0.008421507,0.00650477,0.002180549,0.004479283,0.006551649,0.003878474,0.005302483,0.00633232,0.002871659,0.003108607,0.007312614,0.00233463,0.002378378,0.002369668,0.006227758,0.004607177,0.003896947,0.004642936,0.002147075,0.001474111,0.003306149,0.002614116,0.002915452,0.004331683,0.003161889,0.002793296,0.002601747,0.006143535,0.003796204,0.003103983,0.003357958,0.003884826,0.002622169,0.003466605,0.001916525,0.007464013,0.009781358,0.003132692,0.002272258,0.007264385,0.00418513,0.003587613,0.007354686,0.005953744,0.112860892,0.078740157,0.168846611,0.078947368,0.080344333,0.002569043,0.082942097,0.093415008,0.002977963,0.054232804,0.061764706,0.073065903,0.003780718,0.087149188,0.004117537,0.002864646,0.003356409,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,NA
JX515427.1.1448,JX515427.1.1448,0,0.003669725,0.051840558,0,0.001404494,0,0.009083228,0.001472754,0,0,0.010151139,0.070261039,0,0.003704327,0.01006865,0.005612413,0.004604253,0.011750647,0.005563878,0.002396804,0.011683849,0.006869276,0,0.003236944,0.005835668,0.00222312,0.008673577,0.003071882,0.002892102,0.00244439,0.068777044,0.001715686,0.002971138,0.007412399,0.009501188,0.010841284,0.00130833,0.004927212,0.006551649,0.001939237,0.005302483,0.008865248,0.002208968,0.003885759,0.006267955,0.003501946,0.003027027,0.001938819,0.005782918,0.003879728,0.00368045,0.00508512,0.003936303,0.007002027,0.00198369,0.003619546,0.002498959,0.00660066,0.003161889,0.004512248,0.007619402,0.005585032,0.006393606,0.018796344,0.004701142,0.002285192,0.002145411,0.011093136,0.010434412,0.008174871,0.00863061,0.003580219,0.003305102,0.007455553,0.001723289,0.003965257,0.004507711,0.006411724,0,0.001312336,0.001189061,0,0.00143472,0.012417041,0,0.001531394,0.002977963,0.002645503,0.001470588,0,0.004811823,0.001477105,0.005989145,0.004535689,0.007342144,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,NA
New.CleanUp.ReferenceOTU442015,New.CleanUp.ReferenceOTU442015,0,0.000733945,0.000435635,0,0,0,0.000844951,0,0,0,0.000225581,0.000975848,0,0.000336757,0.002059497,0.000495213,0.00021925,0.000398327,0.000641986,0.001331558,0.001603666,0.00041632,0,0,0.02194211,0.004244139,0.000211551,0.004095843,0.019132369,0.001222195,0.000455477,0.000980392,0.003395586,0.000673854,0.000647808,0.000216826,0.000654165,0.000223964,0.000655165,0.000215471,0.000482044,0.000253293,0.000441794,0.000582864,0.001044659,0.000583658,0.001081081,0.000861698,0.00044484,0.001212415,0,0.000221092,0.000357846,0.000921319,0.00022041,0.000201086,0.000208247,0.000412541,0.000210793,0.000429738,0.000929195,0.000558503,0.001398601,0,0.000223864,0.000685558,0.001907032,0.000693321,0.000212947,0.000355429,0,0.000447527,0.001032844,0.000191168,0.002461841,0.000755287,0.000711744,0.00068697,0,0,0,0,0,0.000214087,0,0,0.000794123,0,0,0,0.000343702,0,0.000561482,0.001909764,0.000629327,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
JQ014293.1.1229,JQ014293.1.1229,0,0.000917431,0.005227619,0,0,0.001283697,0.001056189,0,0,0,0.000902323,0.008294706,0,0.000505136,0.001144165,0.000330142,0.001096251,0.004182434,0.000855981,0.000532623,0.00091638,0.001040799,0,0.000431593,0.000466853,0.000404204,0.000846203,0.000819169,0.000667408,0.000488878,0.008198588,0.000735294,0.000424448,0.000898473,0.001295616,0.000867303,0.000218055,0.000895857,0.000873553,0.000215471,0.000482044,0.002026342,0.000441794,0.000582864,0.00052233,0.000972763,0.000432432,0.000430849,0.00155694,0.000727449,0.000432994,0.000442184,0.001073537,0.002026903,0,0.000402172,0.000208247,0.000825083,0.000421585,0.000859476,0.002230069,0.001396258,0.000799201,0.001896879,0.000671592,0.000685558,0.000715137,0.003004391,0.002129472,0.000888573,0.001726122,0.000895055,0.000413138,0.000573504,0.000246184,0.002077039,0.000948992,0.002289902,0,0,0,0.001547988,0,0.00278313,0,0,0.000198531,0,0.001470588,0,0.000515553,0,0.000374322,0.000954882,0.001468429,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,NA
FJ950569.1.1333,FJ950569.1.1333,0,0.101834862,0.032454803,0,0,0,0.112378538,0,0.00281294,0,0.088878863,0.03513052,0,0.098501431,0.09382151,0.034499835,0.117737338,0.13324039,0.082388187,0.059387483,0.124856816,0.065986678,0,0.142209754,0.190242764,0.12388844,0.134546224,0.256809339,0.20756396,0.087509166,0.036893646,0.075245098,0.195670628,0.104222821,0.136255668,0.076973114,0.110989969,0.128107503,0.101332169,0.104287869,0.163412871,0.192502533,0.097636404,0.104721197,0.118568817,0.106809339,0.074810811,0.131193451,0.127446619,0.11542192,0.1037021,0.133318594,0.107353731,0.136170997,0.149437955,0.107983109,0.115993336,0.091790429,0.135539629,0.115169746,0.121910426,0.159452667,0.081918082,0.063631661,0.10297739,0.110374771,0.08772348,0.163854865,0.188884157,0.063799538,0.204257768,0.143208772,0.156166081,0.105715924,0.087641556,0.079493958,0.24341637,0.169223723,0,0,0.001189061,0,0,0.218154571,0,0,0.155251142,0,0,0,0.037807183,0.00295421,0.052779337,0.106230604,0.180826516,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
New.ReferenceOTU808,New.ReferenceOTU808,0.020289855,0.000917431,0.00261381,0.029490617,0.025280899,0.01283697,0.001267427,0.027982327,0.021097046,0.02300406,0.000902323,0.003415467,0.027419355,0.001347028,0.002059497,0.000660284,0.001754001,0.000398327,0.000855981,0.001331558,0.001145475,0.001457119,0.028263795,0.001942167,0.000233427,0.000606306,0.001057753,0.000819169,0.000444939,0.001466634,0.001821908,0.003186275,0.000636672,0.001796945,0.00107968,0.00151778,0.00174444,0.001343785,0.001747106,0.001508296,0.002169197,0.002786221,0.000883587,0.000582864,0.001044659,0.00077821,0.002378378,0.001292546,0.00133452,0.001454898,0.002164971,0.001547645,0.001073537,0.000737055,0.00198369,0.001407601,0.001665973,0.001237624,0.001686341,0.000859476,0.000557517,0.001117006,0.001398601,0.000689774,0.001119319,0.000914077,0.002145411,0.001155535,0.001064736,0.000177715,0.002301496,0.000671291,0.000826276,0.001147008,0.003200394,0.000377644,0.000711744,0.001144951,0.011811024,0.018372703,0.014268728,0.026315789,0.022955524,0.001284522,0.014084507,0.02143951,0.000794123,0.01984127,0.026470588,0.012893983,0.001202956,0.023633678,0.001684447,0.002625925,0.00188798,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
GQ355279.1.1379,GQ355279.1.1379,0,0.000183486,0.008712699,0,0,0,0.009294466,0,0,0,0.005639522,0.009270554,0,0.000168379,0.006407323,0.000330142,0.003946503,0.006970723,0.007489835,0.002396804,0.004810997,0.006869276,0,0.004531722,0.006302521,0.006265158,0.007404273,0.003891051,0.006006674,0.001222195,0.010475974,0.002205882,0.005730051,0.004492363,0.007125891,0.003469211,0.002834714,0.003359462,0.004367766,0.003447533,0.001446132,0.002532928,0.001988072,0.00660579,0.00052233,0.003307393,0.003243243,0.001077122,0.003558719,0.000727449,0.003030959,0.003537475,0.000178923,0.006817763,0.00132246,0.003820631,0.004789671,0.000825083,0.004426644,0.004297379,0.009477792,0.000837755,0.000999001,0.000517331,0.004477278,0.002285192,0.002622169,0.002542177,0.002555366,0.000888573,0.001438435,0.00179011,0.003098533,0.001338176,0.006154604,0.000566465,0.000948992,0.001831921,0,0,0,0,0,0.001712695,0,0,0.003573556,0,0,0,0.000687403,0,0,0.002148484,0.001258653,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,NA
GQ140329.1.1452,GQ140329.1.1452,0,0,0.002178175,0,0,0,0.000211238,0,0,0,0,0.011222249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001692405,0,0,0,0.001366431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001312336,0,0,0,0,0,0,0,0,0,0,0,0,0.001477105,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
